,Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
228,229,318,112,3,4.0,3.5,8.67,0,0.71
271,272,299,96,2,1.5,2.0,7.86,0,0.54
373,374,321,109,3,3.0,3.0,8.54,1,0.79
276,277,329,113,5,5.0,4.5,9.45,1,0.89
192,193,322,114,5,4.5,4.0,8.94,1,0.86
72,73,321,111,5,5.0,5.0,9.45,1,0.93
177,178,319,110,3,3.5,3.5,9.04,0,0.82
305,306,321,109,3,3.5,3.5,8.8,1,0.74
462,463,307,105,4,3.0,3.0,7.94,0,0.62
202,203,340,120,5,4.5,4.5,9.91,1,0.97
110,111,305,108,5,3.0,3.0,8.48,0,0.61
441,442,332,112,1,1.5,3.0,8.66,1,0.79
440,441,305,104,2,2.5,1.5,7.79,0,0.53
91,92,299,97,3,5.0,3.5,7.66,0,0.38
26,27,322,109,5,4.5,3.5,8.8,0,0.76
63,64,315,107,2,4.0,3.0,8.5,1,0.56
379,380,311,99,1,2.5,3.0,8.43,1,0.71
456,457,299,100,2,2.0,2.0,7.88,0,0.51
435,436,309,105,2,2.5,4.0,7.68,0,0.55
8,9,302,102,1,2.0,1.5,8.0,0,0.5
459,460,329,113,4,4.0,3.5,9.36,1,0.89
60,61,309,100,2,3.0,3.0,8.1,0,0.48
49,50,327,111,4,3.0,4.0,8.4,1,0.78
306,307,323,110,3,4.0,3.5,9.1,1,0.79
339,340,324,107,5,3.5,4.0,8.66,1,0.81
234,235,330,113,5,5.0,4.0,9.31,1,0.91
283,284,321,111,3,2.5,3.0,8.9,1,0.8
56,57,316,102,3,2.0,3.0,7.4,0,0.64
141,142,332,118,2,4.5,3.5,9.36,1,0.9
377,378,290,100,1,1.5,2.0,7.56,0,0.47
438,439,318,110,1,2.5,3.5,8.54,1,0.67
44,45,326,113,5,4.5,4.0,9.4,1,0.91
2,3,316,104,3,3.0,3.5,8.0,1,0.72
474,475,308,105,4,3.0,2.5,7.95,1,0.67
389,390,320,108,3,3.5,4.0,8.44,1,0.76
317,318,300,99,1,1.0,2.5,8.01,0,0.58
32,33,338,118,4,3.0,4.5,9.4,1,0.91
433,434,316,111,4,4.0,5.0,8.54,0,0.71
229,230,324,111,4,3.0,3.0,9.01,1,0.82
237,238,329,114,5,4.5,5.0,9.19,1,0.86
273,274,312,99,1,1.0,1.5,8.01,1,0.52
30,31,300,97,2,3.0,3.0,8.1,1,0.65
185,186,327,113,4,4.5,4.5,9.11,1,0.89
297,298,320,120,3,4.0,4.5,9.11,0,0.86
166,167,302,102,3,3.5,5.0,8.33,0,0.65
475,476,300,101,3,3.5,2.5,7.88,0,0.59
262,263,308,103,2,2.5,4.0,8.36,1,0.7
319,320,327,113,4,3.5,3.0,8.69,1,0.8
131,132,303,105,5,5.0,4.5,8.65,0,0.77
266,267,312,105,2,2.0,2.5,8.45,0,0.72
184,185,316,106,2,2.5,4.0,8.32,0,0.72
41,42,316,105,2,2.5,2.5,8.2,1,0.49
17,18,319,106,3,4.0,3.0,8.0,1,0.65
238,239,310,104,3,2.0,3.5,8.37,0,0.7
385,386,335,117,5,5.0,5.0,9.82,1,0.96
7,8,308,101,2,3.0,4.0,7.9,0,0.68
428,429,316,103,2,2.0,4.5,8.74,0,0.69
468,469,323,110,4,4.0,5.0,8.88,1,0.81
39,40,307,108,2,4.0,3.5,7.7,0,0.48
324,325,315,104,3,3.0,2.5,8.33,0,0.67
31,32,327,103,3,4.0,4.0,8.3,1,0.74
278,279,308,103,2,3.0,3.5,8.49,0,0.66
429,430,340,115,5,5.0,4.5,9.06,1,0.95
240,241,296,101,1,2.5,3.0,7.68,0,0.6
313,314,301,100,3,3.5,3.0,8.04,0,0.67
406,407,322,103,4,3.0,2.5,8.02,1,0.61
390,391,314,102,2,2.0,2.5,8.24,0,0.64
143,144,340,120,4,4.5,4.0,9.92,1,0.97
241,242,317,103,2,2.5,2.0,8.15,0,0.65
111,112,321,109,4,4.0,4.0,8.68,1,0.69
